COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,AFG,EMRO,REPORTING,2023-02-19,13603457,12380134,34.945,31.802,11661485,29.956,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-22,11,213042,0.547
Albania,ALB,EURO,REPORTING,2023-02-05,3058102,1345763,106.3,47.287,1274719,44.791,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5,390033,13.705
Algeria,DZA,AFRO,REPORTING,2022-09-04,15267442,7840131,34.817,17.879,6481186,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",2021-01-30,4,575651,1.313
American Samoa,ASM,WPRO,REPORTING,2022-09-26,111316,44671,201.67,80.93,42547,77.082,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-21,3,24160,43.77
Andorra,AND,EURO,REPORTING,2023-01-29,156766,57903,202.9,76.011,53492,70.221,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-20,3,43049,56.512
Angola,AGO,AFRO,REPORTING,2023-02-19,24174309,15198308,73.554,46.243,8402805,25.567,SII - Covishield,2021-03-10,1,1620863,4.932
Anguilla,AIA,AMRO,REPORTING,2023-02-10,24489,10854,163.238,72.35,10380,69.191,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-02-05,2,3003,20.017
Antigua and Barbuda,ATG,AMRO,REPORTING,2023-02-10,136512,64290,139.399,65.65,62384,63.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,6,9838,10.046
Argentina,ARG,AMRO,REPORTING,2022-10-07,109652736,41324100,242.617,91.434,37840119,83.725,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,7,30810184,68.17
Armenia,ARM,EURO,REPORTING,2022-05-22,2150112,1129669,72.6,38.123,985807,33.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2021-06-16,8,40725,1.374
Aruba,ABW,AMRO,REPORTING,2023-02-10,216561,90248,202.837,84.529,84085,78.756,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-02-17,2,35659,33.399
Australia,AUS,WPRO,REPORTING,2023-02-09,64708932,22235857,253.762,87.2,21653495,84.916,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-21,5,14349463,56.273
Austria,AUT,EURO,REPORTING,2023-02-05,20369447,6898336,228.8,77.609,6680457,75.052,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,Unknown Vaccine,Valneva - VLA2001",2020-12-30,10,5402254,60.692
Azerbaijan,AZE,EURO,REPORTING,2023-02-05,13804660,5426071,136.2,53.516,4881095,48.141,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,5,3497496,34.495
Bahamas,BHS,AMRO,REPORTING,2023-02-10,364701,174147,92.742,44.285,165633,42.12,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-14,4,33585,8.54
Bahrain,BHR,EMRO,REPORTING,2022-12-21,3476633,1241174,204.319,72.943,1226796,72.098,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-11-04,11,1008663,59.278
Bangladesh,BGD,SEARO,REPORTING,2023-02-14,354990838,151141568,215.552,91.774,136721925,83.018,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-27,8,67127345,40.76
Barbados,BRB,AMRO,REPORTING,2023-02-10,381633,163833,132.8,57.01,155010,53.94,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-08,5,62790,21.849
Belarus,BLR,EURO,REPORTING,2023-01-29,19047714,6528944,201.6,69.094,6410767,67.844,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",2021-02-03,4,5609117,59.36
Belgium,BEL,EURO,REPORTING,2023-02-05,29107703,9253869,252.6,80.312,9157607,79.476,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,7242756,62.858
Belize,BLZ,AMRO,REPORTING,2023-02-10,502178,251903,126.293,63.351,221347,55.667,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,5,51248,12.888
Benin,BEN,AFRO,REPORTING,2022-12-18,4232541,3697190,34.913,30.497,2742837,22.625,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-29,5,,
Bermuda,BMU,AMRO,REPORTING,2023-02-10,132042,48554,212.037,77.97,47657,76.529,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-11,3,31829,51.112
Bhutan,BTN,SEARO,REPORTING,2022-10-30,2011426,699116,260.68,90.605,677669,87.826,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-27,5,634641,82.249
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2023-02-10,15744383,7462681,134.878,63.931,6265361,53.674,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-30,7,2412943,20.671
Bonaire,XAA,AMRO,REPORTING,2023-02-10,43000,17460,205.594,83.481,16181,77.366,,,,8114,38.795
"Bonaire, Sint Eustatius and Saba",BES,AMRO,OWID,2021-09-01,35845,19109,137.934,73.533,16736,64.401,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2,,
Bosnia and Herzegovina,BIH,EURO,REPORTING,2022-01-29,1924950,943394,58.7,28.755,846080,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4,,
Botswana,BWA,AFRO,REPORTING,2023-02-19,3171667,1931675,134.871,82.142,1627766,69.219,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-26,6,503402,21.407
Brazil,BRA,AMRO,REPORTING,2023-02-10,502262440,186615476,236.293,87.794,169594017,79.787,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-17,5,109018786,51.289
British Virgin Islands,VGB,AMRO,REPORTING,2023-02-10,41453,19466,137.094,64.378,18261,60.393,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",2021-02-11,2,3726,12.323
Brunei Darussalam,BRN,WPRO,REPORTING,2023-01-27,1288317,450849,294.487,103.056,446431,102.046,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-04-03,5,339864,77.687
Bulgaria,BGR,EURO,REPORTING,2023-02-05,4612386,2106404,66.4,30.302,2078061,29.894,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,830268,11.944
Burkina Faso,BFA,AFRO,REPORTING,2023-02-19,5856003,4531047,28.015,21.676,3502286,16.755,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-06-02,3,,
Burundi,BDI,AFRO,REPORTING,2023-02-12,34493,32542,0.29,0.274,31951,0.269,Beijing CNBG - BBIBP-CorV,2021-10-18,1,291,0.002
Cabo Verde,CPV,AFRO,REPORTING,2022-09-25,859940,356734,154.669,64.162,308720,55.526,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-18,4,749,0.135
Cambodia,KHM,WPRO,REPORTING,2023-02-10,46003730,15266991,275.159,91.315,14634370,87.532,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-10,7,10544066,63.066
Cameroon,CMR,AFRO,REPORTING,2023-02-19,4272224,3918785,16.094,14.762,3378735,12.728,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-04-12,4,537652,2.025
Canada,CAN,AMRO,REPORTING,2023-02-10,93390727,32640355,247.444,86.482,31286621,82.896,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-14,5,19719223,52.247
Cayman Islands,CYM,AMRO,REPORTING,2023-02-10,150816,61859,229.483,94.125,60589,92.193,Pfizer BioNTech - Comirnaty,2021-01-15,1,24064,36.616
Central African Republic,CAF,AFRO,REPORTING,2023-01-22,2535002,2292088,52.487,47.458,2176684,45.068,"Bharat - Covaxin,SII - Covishield",2021-03-19,2,214090,4.433
Chad,TCD,AFRO,REPORTING,2023-02-19,6368186,6229416,38.769,37.924,6101839,37.148,Beijing CNBG - BBIBP-CorV,2021-06-04,1,1941942,11.822
Chile,CHL,AMRO,REPORTING,2023-02-10,64599073,18088517,337.928,94.624,17700117,92.592,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-21,5,15723241,82.251
China,CHN,WPRO,REPORTING,2022-11-29,3465113661,1307511577,235.516,88.869,1277356924,86.819,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2020-07-22,8,804850776,54.704
Colombia,COL,AMRO,REPORTING,2023-02-10,90210929,42959468,177.291,84.428,36948604,72.615,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,5,14675916,28.843
Comoros,COM,AFRO,REPORTING,2022-10-02,835021,438825,96.023,50.463,397080,45.662,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-04-10,3,,
Congo,COG,AFRO,REPORTING,2022-07-31,833210,695760,15.1,12.609,654119,11.854,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",2021-03-23,4,,
Cook Islands,COK,WPRO,REPORTING,2022-05-10,39612,15020,225.529,85.516,14676,83.557,Pfizer BioNTech - Comirnaty,2021-05-17,1,9916,56.456
Costa Rica,CRI,AMRO,REPORTING,2023-02-10,12778229,4605172,250.843,90.402,4314443,84.695,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-24,3,2832234,55.598
Côte d’Ivoire,CIV,AFRO,REPORTING,2023-02-19,25263932,13568372,95.776,51.438,12164304,46.115,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,5,3138712,11.899
Croatia,HRV,EURO,REPORTING,2022-10-23,5357755,2317461,132,57.141,2244181,55.3,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,6,954875,23.53
Cuba,CUB,AMRO,REPORTING,2023-02-10,38012728,10725585,335.605,94.694,10007272,88.352,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",,3,8695158,76.767
Curaçao,CUW,AMRO,REPORTING,2023-02-10,260324,108601,158.644,66.183,100885,61.48,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-24,3,43138,26.289
Cyprus,CYP,EURO,REPORTING,2023-02-05,1856599,668666,209.1,75.3,655954,73.868,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5,487065,54.849
Czechia,CZE,EURO,REPORTING,2023-02-05,18602204,6971022,174,65.187,6886523,64.397,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",2020-12-23,7,4363043,40.799
Democratic Republic of the Congo,COD,AFRO,REPORTING,2023-02-12,12474117,11549486,13.928,12.896,9138538,10.204,SII - Covishield,2021-04-19,1,,
Denmark,DNK,EURO,REPORTING,2023-02-05,15114372,4796911,259.6,82.382,4783897,82.159,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-16,5,3667863,62.992
Djibouti,DJI,EMRO,REPORTING,2023-02-19,385621,364995,39.03,36.943,344630,34.882,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-15,11,,
Dominica,DMA,AMRO,REPORTING,2023-02-10,67647,32995,93.966,45.832,30659,42.587,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-12,5,3993,5.547
Dominican Republic,DOM,AMRO,REPORTING,2023-02-10,15917363,7307585,146.732,67.364,6080061,56.048,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2021-02-16,3,2529717,23.32
Ecuador,ECU,AMRO,REPORTING,2023-02-10,39465766,15327060,223.69,86.873,14230208,80.656,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,4,7698457,43.634
Egypt,EGY,EMRO,REPORTING,2023-02-19,104508139,54800282,102.124,53.55,40865508,39.933,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-24,10,11974768,11.702
El Salvador,SLV,AMRO,REPORTING,2023-02-10,11379601,4648614,175.443,71.669,4386824,67.633,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-17,6,1883121,29.033
Equatorial Guinea,GNQ,AFRO,REPORTING,2022-07-24,488738,270109,34.836,19.252,214032,15.255,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2021-02-12,2,4597,0.328
Eritrea,ERI,AFRO,REPORTING,2022-07-03,,0,,0,0,0,,,,,
Estonia,EST,EURO,REPORTING,2023-02-05,2194815,844825,165.2,63.57,835737,62.886,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",2020-12-23,8,486584,36.613
Eswatini,SWZ,AFRO,REPORTING,2023-02-12,830376,511632,71.574,44.1,417484,35.985,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-19,3,163344,14.079
Ethiopia,ETH,AFRO,REPORTING,2023-01-22,53514115,43791263,46.549,38.091,37337167,32.477,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-13,4,2679887,2.331
Falkland Islands (Malvinas),FLK,AMRO,REPORTING,2022-06-21,9390,3220,269.595,92.449,2976,85.444,AstraZeneca - AZD1222,,1,2543,73.012
Faroe Islands,FRO,EURO,OWID,2022-02-18,103894,41715,212.614,85.368,40895,83.69,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2,21284,43.557
Fiji,FJI,WPRO,REPORTING,2023-02-09,1552738,711793,173.211,79.402,640870,71.49,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",2021-03-07,3,170867,19.061
Finland,FIN,EURO,REPORTING,2023-02-05,13233644,4546427,239.5,82.284,4363729,78.977,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,5,3084268,55.821
France,FRA,EURO,REPORTING,2023-02-05,157737439,54650869,234.3,81.18,53154487,78.958,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-30,6,40984221,60.88
French Guiana,GUF,AMRO,REPORTING,2023-02-10,240930,99898,80.664,33.446,90181,30.193,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-13,2,46100,15.434
French Polynesia,PYF,WPRO,REPORTING,2022-12-31,450069,191936,160.219,68.327,163896,58.345,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-01-18,2,81177,28.898
Gabon,GAB,AFRO,REPORTING,2023-02-05,572672,311244,25.73,13.984,257471,11.568,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2021-03-23,3,2592,0.116
Gambia,GMB,AFRO,REPORTING,2023-01-22,1444492,934799,59.772,38.681,454639,18.813,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-10,2,31322,1.296
Georgia,GEO,EURO,REPORTING,2023-01-15,2731970,1297872,68.5,32.535,1184079,29.682,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-17,4,250019,6.267
